pid,label,autores,keyword,grupo,fecha,ciudad,pais,conseguido,tipo_principal,nota,medio_impresion,intervencion_manual,portada_color,portada_especial,internas_color,papel_portada_color,Compaginado,order,layout,collection,thumbnail,full,manifest,descripcion,nota_archivo,editores
4530labezaca_lp4ufkpzjg,45-30,"Base-v, Antihéroe, Felipe Cortés, Estudio Monitor, María Isabel Rueda, Katherine León, Nei, Colombian Trash, Santiago Romero, E.T.I.C.A, Joystick, Julieta Miguez, Excusado2, Nomono, Tiago Pina, Sebastián Bayona, Carlos Bonil, Ulises Moises, Don Ramones, Julián Chávez, Santiago Martínez, Laura Quiñónez, Icaro Zorbar, Camilo Pachón, Alejandro Narváez, José Luis Guio",4530labezaca,LaBezaca,2006,Bogotá,Colombia,Gratis en Feria del libro de Bogotá,Ilustración,"Es un libro que invita a rayar, recortar, colorear, etc.",Offset,no,full,No,no,no,Cuadernillo,00,zine_item,zines,"/img/derivatives/iiif/images/4530labezaca_lp4ufkpzjg/full/250,/0/default.jpg","/img/derivatives/iiif/images/4530labezaca_lp4ufkpzjg/full/1140,/0/default.jpg",/img/derivatives/iiif/4530labezaca_lp4ufkpzjg/manifest.json,"","",""
abecedariokn_lp4u12vdg8,El ABECEDARIO,"Leonardo Kuntscher, Marcelo Mosqueira",abecedarioknutschermancini,Colección Espantitos,2015,Buenos Aires,Argentina,Regalo de Paula Rodríguez Gómez,Ilustración,"",Offset,no,full,No,no,no,Cuadernillo,01,zine_item,zines,"/img/derivatives/iiif/images/abecedariokn_lp4u12vdg8/full/250,/0/default.jpg","/img/derivatives/iiif/images/abecedariokn_lp4u12vdg8/full/1140,/0/default.jpg",/img/derivatives/iiif/abecedariokn_lp4u12vdg8/manifest.json,"","",""
almanaquebri_lp4uettew7,Almanaque Pintoresco de Bristol para el año 2008 calculado expresamente para La República de Colombia,Lanman & Kemp Barclay & CO. Incorporated,almanaquebristol2008,"",2008,Westwood,Estados Unidos,Comprado en la calle,Texto,Edición en conmemoración del 200 aniversario del Agua Florida de Murray y Lanman,Offset,no,no,No,no,sí,Cuadernillo,02,zine_item,zines,"/img/derivatives/iiif/images/almanaquebri_lp4uettew7/full/250,/0/default.jpg","/img/derivatives/iiif/images/almanaquebri_lp4uettew7/full/1140,/0/default.jpg",/img/derivatives/iiif/almanaquebri_lp4uettew7/manifest.json,"","",""
amalgamafilm_lp4u3xa8r6,Amalgama,Filmigrana,amalgamafilmigrana,"",2017,Bogotá,Colombia,Comprado en feria Macarenazo,Texto,"",Offset,no,no,No,duo,sí,Cuadernillo,03,zine_item,zines,"/img/derivatives/iiif/images/amalgamafilm_lp4u3xa8r6/full/250,/0/default.jpg","/img/derivatives/iiif/images/amalgamafilm_lp4u3xa8r6/full/1140,/0/default.jpg",/img/derivatives/iiif/amalgamafilm_lp4u3xa8r6/manifest.json,"","",""
antoninpavel_lp4sfoakdu,Antoñín,Pavel Molano,antoninpavel,"",2017,Bogotá,Colombia,Comprado en feria,Cómic,"",Offset,no,full,No,sí,no,Cuadernillo,04,zine_item,zines,"/img/derivatives/iiif/images/antoninpavel_lp4sfoakdu/full/250,/0/default.jpg","/img/derivatives/iiif/images/antoninpavel_lp4sfoakdu/full/1140,/0/default.jpg",/img/derivatives/iiif/antoninpavel_lp4sfoakdu/manifest.json,"","",""
aplaceintime_lp4u2dsqtt,A Place in Time. Two paths to a television broadcast,Kevin Hamilton,aplaceintimehamilton,"",2012,Urbana,Estados Unidos,Gratis en el IMC (Independent Media Center) de Urbana,Cómic,"",Digital,no,duo,No,no,no,Cuadernillo,05,zine_item,zines,"/img/derivatives/iiif/images/aplaceintime_lp4u2dsqtt/full/250,/0/default.jpg","/img/derivatives/iiif/images/aplaceintime_lp4u2dsqtt/full/1140,/0/default.jpg",/img/derivatives/iiif/aplaceintime_lp4u2dsqtt/manifest.json,"","",""
atroz0000000_lp4u1qok82,Atroz,"Malchico, Buytronick, Chirrete, Uneg, Pape, Phize, Stash, Senk, Ute, Lora, Bizarre, Done, Ita, Cesar",atroz,"",2009,México D.F.,México,Comprado en feria,Ilustración,"",Offset,no,no,Serigrafía,no,sí,Cuadernillo,06,zine_item,zines,"/img/derivatives/iiif/images/atroz0000000_lp4u1qok82/full/250,/0/default.jpg","/img/derivatives/iiif/images/atroz0000000_lp4u1qok82/full/1140,/0/default.jpg",/img/derivatives/iiif/atroz0000000_lp4u1qok82/manifest.json,Compilación de ilustraciones de varies autores. La premisa es que todas las ilustraciones debían hacerse a mano.,"",""
ayayaysergio_lp4u3sgcl2,Ayayay,Sergio Rodríguez Gómez,ayayaysergiorodriguezgomez,"",2022,Bogotá,Colombia,Elaboración propia,Cómic,"",Fotocopia,no,no,No,no,sí,Cuadernillo,07,zine_item,zines,"/img/derivatives/iiif/images/ayayaysergio_lp4u3sgcl2/full/250,/0/default.jpg","/img/derivatives/iiif/images/ayayaysergio_lp4u3sgcl2/full/1140,/0/default.jpg",/img/derivatives/iiif/ayayaysergio_lp4u3sgcl2/manifest.json,"","",""
badlandasman_lp4udox4ev,Badlands,Manuel Hernández Ruiz,badlandasmanuelhernandezruiz,"",2019,Bogotá,Colombia,Gratis en exposición SNA (Salón Nacional de Artistas) 45,Ilustración,"Parte de la curaduría LLamitas al viento de Manuel Kalmanovitz, Salón Nacional de Artistas 45",Offset,no,full,No,full,no,Cuadernillo,08,zine_item,zines,"/img/derivatives/iiif/images/badlandasman_lp4udox4ev/full/250,/0/default.jpg","/img/derivatives/iiif/images/badlandasman_lp4udox4ev/full/1140,/0/default.jpg",/img/derivatives/iiif/badlandasman_lp4udox4ev/manifest.json,"","",""
badmuleragma_lp4ugcsge0,Bad Mule Rag 2,Mark Roberts,badmuleragmarkroberts,"",2023,Urbana,Estados Unidos,Regalo de Janaynne Carvalho do Amaral,Ilustración,"",Offset,no,full,No,full,na,Cuadernillo,09,zine_item,zines,"/img/derivatives/iiif/images/badmuleragma_lp4ugcsge0/full/250,/0/default.jpg","/img/derivatives/iiif/images/badmuleragma_lp4ugcsge0/full/1140,/0/default.jpg",/img/derivatives/iiif/badmuleragma_lp4ugcsge0/manifest.json,"","",""
