pid,label,autores,_resena,_resenado,descripcion,keyword,editores,grupo,fecha,ciudad,pais,conseguido,tipo_principal,nota,medio_impresion,intervencion_manual,portada_color,portada_especial,internas_color,papel_portada_color,compaginado,_nota_archivo
4530labezaca_lp4ufkpzjg,45-30,"Base-v, Antihéroe, Felipe Cortés, Estudio Monitor, María Isabel Rueda, Katherine León, Nei, Colombian Trash, Santiago Romero, E.T.I.C.A, Joystick, Julieta Miguez, Excusado2, Nomono, Tiago Pina, Sebastián Bayona, Carlos Bonil, Ulises Moises, Don Ramones, Julián Chávez, Santiago Martínez, Laura Quiñónez, Icaro Zorbar, Camilo Pachón, Alejandro Narváez, José Luis Guio",Trabajos de estudiantes y profesores. Ejercicio de edición colectiva. Algunas de las personas que están aquí hoy son artistas reconocidos localmente.,No,,4530labezaca,,LaBezaca,2006,Bogotá,Colombia,Gratis en Feria del libro de Bogotá,Ilustración,"Es un libro que invita a rayar, recortar, colorear, etc.",Offset,no,full,No,no,no,Cuadernillo,
abecedariokn_lp4u12vdg8,El ABECEDARIO,"Leonardo Kuntscher, Marcelo Mosqueira",,No,,abecedarioknutschermancini,,Colección Espantitos,2015,Buenos Aires,Argentina,Regalo de Paula Rodríguez Gómez,Ilustración,,Offset,no,full,No,no,no,Cuadernillo,
almanaquebri_lp4uettew7,Almanaque Pintoresco de Bristol para el año 2008 calculado expresamente para La República de Colombia,Lanman & Kemp Barclay & CO. Incorporated,"Curiosamente, el nuevo almanaque tiene la tragicomedia en 4 cuadros en 3d y a color.",No,,almanaquebristol2008,,,2008,Westwood,Estados Unidos,Comprado en la calle,Texto,Edición en conmemoración del 200 aniversario del Agua Florida de Murray y Lanman,Offset,no,no,No,no,sí,Cuadernillo,
amalgamafilm_lp4u3xa8r6,Amalgama,Filmigrana,"Tintees a las cartillas de cine donde varios críticos que luego se volvieron cineastas, como Jean Luc Godard hicieron sus apreciaciones cinematográficas.",No,,amalgamafilmigrana,,,2017,Bogotá,Colombia,Comprado en feria Macarenazo,Texto,,Offset,no,no,No,duo,sí,Cuadernillo,
antoninpavel_lp4sfoakdu,Antoñín,Pavel Molano,El loco del tranvia. Dibujos muy estilizados.,No,,antoninpavel,,,2017,Bogotá,Colombia,Comprado en feria,Cómic,,Offset,no,full,No,sí,no,Cuadernillo,
aplaceintime_lp4u2dsqtt,A Place in Time. Two paths to a television broadcast,Kevin Hamilton,"La historia múltiple y paralela de un lugar en particular, Urbana Illinois en los estados unidos. Momentos de confusión y contradicción, y un personaje cibernético.",No,,aplaceintimehamilton,,,2012,Urbana,Estados Unidos,Gratis en el IMC (Independent Media Center) de Urbana,Cómic,,Digital,no,duo,No,no,no,Cuadernillo,
atroz0000000_lp4u1qok82,Atroz,"Malchico, Buytronick, Chirrete, Uneg, Pape, Phize, Stash, Senk, Ute, Lora, Bizarre, Done, Ita, Cesar",Dibujos hechos manualmente. Portada serigrafiada.,No,Compilación de ilustraciones de varies autores. La premisa es que todas las ilustraciones debían hacerse a mano.,atroz,,,2009,México D.F.,México,Comprado en feria,Ilustración,,Offset,no,no,Serigrafía,no,sí,Cuadernillo,
ayayaysergio_lp4u3sgcl2,Ayayay,Sergio Rodríguez Gómez,,No,,ayayaysergiorodriguezgomez,,,2022,Bogotá,Colombia,Elaboración propia,Cómic,,Fotocopia,no,no,No,no,sí,Cuadernillo,
badlandasman_lp4udox4ev,Badlands,Manuel Hernández Ruiz,,No,,badlandasmanuelhernandezruiz,,,2019,Bogotá,Colombia,Gratis en exposición SNA (Salón Nacional de Artistas) 45,Ilustración,"Parte de la curaduría LLamitas al viento de Manuel Kalmanovitz, Salón Nacional de Artistas 45",Offset,no,full,No,full,no,Cuadernillo,
badmuleragma_lp4ugcsge0,Bad Mule Rag 2,Mark Roberts,,No,,badmuleragmarkroberts,,,2023,Urbana,Estados Unidos,Regalo de Janaynne Carvalho do Amaral,Ilustración,,Offset,no,full,No,full,na,Cuadernillo,
basurama0100_lp4uep4k7a,Basurama 01,"Mecamutanterio, Buytronick, Stinkfish, Chirrete, Malchico, Ponce, Azteck, Aeon",,No,,basurama01,,,2009,México D.F.,México,Comprado en feria,Ilustración,,Offset,no,duo,No,no,no,Cuadernillo,
bazuca000000_lp4u1mbbqa,Bazuca,"Mike Diana, Piñata, Edwin Sandoval, Lisa Czech, Mistress Rat, Gabriela Fraga, Tourlas G, Hurrican Ivan, Santi Seta, Cameron Forsley, Coyote, David Galliquio, Señor Berumen, Onsmith Jeremy, Eden D, Simone Chiorlerio, Suki Sánchez, Detrito, Manuel Hernández, Desperfecto, Taxaz, Mañe, Dr.Blugie, Vinker, Alpz, Toxo, Abby, Ana Mardoquea, Jim Pluk, Apestosa, Pagannini, Meza, Danitos",Compilado grotesco de cómic underground.,No,"Compilación de varios autores colombianos e internacionales, cómic estilo cutre-chiroso.",bazuca,,,2017,Bucaramanga,Colombia,Comprado en feria,Cómic,,Fotocopia,no,tri,No,no,no,Cuadernillo,
